start_t,stop_t,server_id,player_a,player_b,key,meta,count
40320,40321, 506ae0a41dbf9dc361000005, 898afb972f09a984e439b3a3bb863c65c7a40902, , Logins, America/Sao_Paulo,1
40320,40321, 506ae0a41dbf9dc361000005, 89c946ba45e86ed1779b155a15083b8a696c547e, , BlockPlace, OTHER,1
40320,40321, 506ae0a41dbf9dc361000005, 89c946ba45e86ed1779b155a15083b8a696c547e, , Logins, America/Chicago,1
40320,40321, 506ae0a41dbf9dc361000005, 89c946ba45e86ed1779b155a15083b8a696c547e, bce9e512429c8aef4c053c5ddca3363851eb0d43, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, 8b6d21b8b7a945dfa76a643e4fb9c4ff83cf4c3c, , Logins, America/Sao_Paulo,1
40320,40321, 506ae0a41dbf9dc361000005, 8cecd9f79b1c21871fbb5a6a3028e5ca7e9e0b9d, , Logins, America/Chicago,1
40320,40321, 506ae0a41dbf9dc361000005, 99af9f8c0a12ae2098b0c257edf29392507d787c, , Logins, Pacific/Honolulu,1
40320,40321, 506ae0a41dbf9dc361000005, 9b54e10c8d90c5afcf6cdfe27a4ff8916418a596, , BlockBreak, IRON_BLOCK,1
40320,40321, 506ae0a41dbf9dc361000005, 9b54e10c8d90c5afcf6cdfe27a4ff8916418a596, , BlockBreak, OTHER,1
40320,40321, 506ae0a41dbf9dc361000005, 9b54e10c8d90c5afcf6cdfe27a4ff8916418a596, , Logins, America/New_York,1
40320,40321, 506ae0a41dbf9dc361000005, 9b54e10c8d90c5afcf6cdfe27a4ff8916418a596, 62a0843003cdb91bd142cabd351829ea22b257f4, Chat, ,1
40320,40321, 506ae0a41dbf9dc361000005, a86c4ec818f528271b529646997181ea01281522, , Logins, NoInfo,1
40320,40321, 506ae0a41dbf9dc361000005, a93911bb28907fc4f436dd122800a9f06e322b34, , Logins, America/Los_Angeles,1
40320,40321, 506ae0a41dbf9dc361000005, b4bbf38d46deeecae5bee8a15217609444fbfc7f, , Logins, America/Los_Angeles,1
40320,40321, 506ae0a41dbf9dc361000005, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, , BlockPlace, OTHER,1
40320,40321, 506ae0a41dbf9dc361000005, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, 1cab78e0279246b40926ff8ebabb93964a8b0a48, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, 7500b9a38f192a3756353e478913609563bf56bf, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, 87bc588f57c122fd5eedbc930922d02ec2917424, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, bce9e512429c8aef4c053c5ddca3363851eb0d43, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, bc007b02bdf57aa3f2a254c051bd03d9ad95f8dc, , Logins, America/Los_Angeles,1
40320,40321, 506ae0a41dbf9dc361000005, bce9e512429c8aef4c053c5ddca3363851eb0d43, , BlockBreak, STONE,1
40320,40321, 506ae0a41dbf9dc361000005, be5254be27c4a0ec7458c3de987b41ec78b15c26, , Death, ,1
40320,40321, 506ae0a41dbf9dc361000005, be5254be27c4a0ec7458c3de987b41ec78b15c26, , Logins, America/Sao_Paulo,1
40320,40321, 506ae0a41dbf9dc361000005, c0fa29a2f74eab2e2e3701ece3481d95e4d826a0, , BlockBreak, EMERALD_ORE,1
40320,40321, 506ae0a41dbf9dc361000005, c0fa29a2f74eab2e2e3701ece3481d95e4d826a0, , BlockBreak, GLASS,1
40320,40321, 506ae0a41dbf9dc361000005, cd88e6dcd36d1d411c5fa4a058b04173a5f8da13, , BlockPlace, DIRT,1
40320,40321, 506ae0a41dbf9dc361000005, cd88e6dcd36d1d411c5fa4a058b04173a5f8da13, , Death, ,1
40320,40321, 506ae0a41dbf9dc361000005, cdc24fcb4371ced2bba71ec04080dfe370fccfcf, , BlockBreak, STONE,1
40320,40321, 506ae0a41dbf9dc361000005, cdc24fcb4371ced2bba71ec04080dfe370fccfcf, , BlockPlace, SMOOTH_BRICK,1
40320,40321, 506ae0a41dbf9dc361000005, cdc24fcb4371ced2bba71ec04080dfe370fccfcf, , Death, ,1
40320,40321, 506ae0a41dbf9dc361000005, d6ab631c60bc3de2b61b756a67780a6add730f68, , BlockBreak, COBBLESTONE,1
40320,40321, 506ae0a41dbf9dc361000005, d6ab631c60bc3de2b61b756a67780a6add730f68, , Kicks, ,1
40320,40321, 506ae0a41dbf9dc361000005, d7cc358f69243ef3eadac3bb1ed3a509421acebb, , BlockBreak, OTHER,1
40320,40321, 506ae0a41dbf9dc361000005, d7cc358f69243ef3eadac3bb1ed3a509421acebb, , BlockPlace, OTHER,1
40320,40321, 506ae0a41dbf9dc361000005, dd76e3ee2164f08a6dfe99e3bc155bbb4ff7dc32, , BlockBreak, STONE,1
40320,40321, 506ae0a41dbf9dc361000005, dd76e3ee2164f08a6dfe99e3bc155bbb4ff7dc32, , Logins, America/New_York,1
40320,40321, 506ae0a41dbf9dc361000005, de1735c1051d73e49e47f9f517c524a1f1e2af18, , Death, ,1
40320,40321, 506ae0a41dbf9dc361000005, de1735c1051d73e49e47f9f517c524a1f1e2af18, , Kicks, ,1
40320,40321, 506ae0a41dbf9dc361000005, ea4e83323a3ab2a5d3fab32681d91c68adbc113f, , Logins, America/Halifax,1
40320,40321, 506ae0a41dbf9dc361000005, ecb3a009a9e41f270aba0a26400b7da91bddc17d, , BlockBreak, DIRT,1
40320,40321, 506ae0a41dbf9dc361000005, ecb3a009a9e41f270aba0a26400b7da91bddc17d, 84491daf13521ed0866dde1fbf615d2f167c7476, Chat, ,1
40320,40321, 506ae0a41dbf9dc361000005, f8d27571e810d5ec4d16f8decb4aed11d5ae74ae, , Logins, America/Los_Angeles,1
40320,40321, 506ae0a41dbf9dc361000005, f8d27571e810d5ec4d16f8decb4aed11d5ae74ae, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, f94a2687fdbe013d7de037e27a77bf9828485393, , Logins, America/Sao_Paulo,1
40320,40321, 506ae0a41dbf9dc361000005, fc26fcce701846cecfdd7c0c718e1d788c044d39, , Logins, America/Los_Angeles,1
40320,40321, 50989f1b1dbf9d412a000004, 10409d11e717c03c28ad1c4cfe8ecb90de0d7f7a, , BlockPlace, DIRT,1
40320,40321, 50989f1b1dbf9d412a000004, 10409d11e717c03c28ad1c4cfe8ecb90de0d7f7a, , CraftedItems, IRON_BOOTS,1
40320,40321, 50989f1b1dbf9d412a000004, 10409d11e717c03c28ad1c4cfe8ecb90de0d7f7a, , CraftedItems, IRON_CHESTPLATE,1
40320,40321, 50989f1b1dbf9d412a000004, 10409d11e717c03c28ad1c4cfe8ecb90de0d7f7a, , CraftedItems, IRON_HELMET,1
40320,40321, 50989f1b1dbf9d412a000004, 10409d11e717c03c28ad1c4cfe8ecb90de0d7f7a, , CraftedItems, IRON_LEGGINGS,1
40320,40321, 50989f1b1dbf9d412a000004, 10409d11e717c03c28ad1c4cfe8ecb90de0d7f7a, , Logins, America/New_York,1
40320,40321, 50989f1b1dbf9d412a000004, 154bf7d64cfaf3f244776ace8366d674663bebbd, , BlockPlace, SMOOTH_BRICK,1
